store_id,link_food,store_food,star,review,price
strJ003941082,https://www.hotpepper.jp/strJ003941082/,能登牛　牛カツ京都勝牛　 クロスゲート金沢店,4.6,65.0,2500.5
strJ001225881,https://www.hotpepper.jp/strJ001225881/,焼肉　千鳥,4.6,169.0,3500.5
strJ003694147,https://www.hotpepper.jp/strJ003694147/,金沢海鮮居酒屋　とくさん亭,4.0,23.0,3500.5
strJ001185163,https://www.hotpepper.jp/strJ001185163/,The station bar mixology(ザ　ステーションバー　ミクソロジー),4.2,24.0,3500.5
strJ004025202,https://www.hotpepper.jp/strJ004025202/,韓国キッチン　ヒルリン　金沢武蔵,4.3,46.0,3500.5
strJ003916960,https://www.hotpepper.jp/strJ003916960/,半個室　海鮮居酒屋　さかなや道場　金沢駅店,4.1,132.0,3500.5
strJ000788719,https://www.hotpepper.jp/strJ000788719/,浪花の串カツえべっさん　金沢駅前店,3.5,73.0,2500.5
strJ001098739,https://www.hotpepper.jp/strJ001098739/,魚笑　（うおしょう）（石川県）,4.2,148.0,3500.5
strJ000980434,https://www.hotpepper.jp/strJ000980434/,金沢焼鳥 炭火焼鶏 Ryo 金沢駅前本店,4.4,156.0,4500.5
strJ001119492,https://www.hotpepper.jp/strJ001119492/,焼鳥　てんてん,4.7,165.0,2500.5
strJ001226697,https://www.hotpepper.jp/strJ001226697/,【金沢 能登牛】NIKUダイニング meat meet（ミートミート）,4.4,148.0,4500.5
strJ001217185,https://www.hotpepper.jp/strJ001217185/,焼肉ホルモン 芝生,4.8,256.0,4500.5
strJ003763482,https://www.hotpepper.jp/strJ003763482/,金沢駅前居酒屋　屋台餃子　虎衛門,4.2,45.0,2500.5
strJ003498459,https://www.hotpepper.jp/strJ003498459/,名物550円カルビ　焼肉 大判　金沢駅前,4.1,32.0,4500.5
strJ003716150,https://www.hotpepper.jp/strJ003716150/,金沢おでん×地酒　居酒屋　煌星（キラボシ）　金沢駅前店,3.6,31.0,3500.5
strJ003737153,https://www.hotpepper.jp/strJ003737153/,うなぎ四代目菊川  クロスゲート金沢店,4.7,278.0,4500.5
strJ001128533,https://www.hotpepper.jp/strJ001128533/,金澤串揚げ　ざしき笑し,3.5,75.0,2500.5
strJ003942242,https://www.hotpepper.jp/strJ003942242/,サラリーマン焼肉酒場　ホルモン課長　金沢駅西,4.6,23.0,4500.5
strJ003737382,https://www.hotpepper.jp/strJ003737382/,串焼き＆煮込み 居酒屋 寅ひげ 金沢駅前,4.7,43.0,3500.5
strJ003341482,https://www.hotpepper.jp/strJ003341482/,豚大門市場(トンデムンシジャン)  金沢駅前店,4.5,166.0,3500.5
strJ000029499,https://www.hotpepper.jp/strJ000029499/,居酒屋 ちょん兵衛 （ちょんべえ）,4.0,131.0,4500.5
strJ000662306,https://www.hotpepper.jp/strJ000662306/,しゃぶしゃぶ温野菜　金沢駅ビル店,4.1,142.0,3500.5
strJ001054225,https://www.hotpepper.jp/strJ001054225/,手羽先　てばや,4.6,177.0,3500.5
strJ001113519,https://www.hotpepper.jp/strJ001113519/,ホルモンくろまる,4.1,52.0,3500.5
strJ000053536,https://www.hotpepper.jp/strJ000053536/,赤から　金沢駅前店　（あかから）,4.6,116.0,3500.5
strJ003324094,https://www.hotpepper.jp/strJ003324094/,金沢　居酒屋　焼き鳥　手羽先　呑平,4.7,83.0,3500.5
strJ003893124,https://www.hotpepper.jp/strJ003893124/,定食SAKABAとも家　近江町店,4.5,150.0,3500.5
strJ003762732,https://www.hotpepper.jp/strJ003762732/,Bistro UNiQ ビストロユニク　金沢駅前,4.7,113.0,4500.5
strJ003851630,https://www.hotpepper.jp/strJ003851630/,金沢炉端あっぱれ 金沢駅前店,4.4,156.0,5500.5
strJ003851468,https://www.hotpepper.jp/strJ003851468/,大衆餃子酒場　麺餃王（めんぎょうおう）　金沢駅前店,4.3,99.0,4500.5
strJ004004684,https://www.hotpepper.jp/strJ004004684/,中国料理 龍虎,4.8,27.0,4500.5
strJ003672262,https://www.hotpepper.jp/strJ003672262/,金澤酒場くせもの,4.3,227.0,3500.5
strJ001192549,https://www.hotpepper.jp/strJ001192549/,鉄板屋　燈 　（　ともしび　）,4.4,146.0,5500.5
strJ000860319,https://www.hotpepper.jp/strJ000860319/,鳥珍や　金沢駅前店,4.3,58.0,2500.5
strJ003943043,https://www.hotpepper.jp/strJ003943043/,Latteria3（ラッテリアトレ）金沢駅前,4.5,54.0,5500.5
strJ003474397,https://www.hotpepper.jp/strJ003474397/,金沢焼鳥 炭火焼鶏 Ryo 金沢駅前　別館,4.7,165.0,4500.5
strJ001267058,https://www.hotpepper.jp/strJ001267058/,天ぷら専門　イチバン,4.5,312.0,3500.5
strJ004026786,https://www.hotpepper.jp/strJ004026786/,すし居酒屋　楽（らく）　金沢駅前,3.9,28.0,4500.5
strJ000761026,https://www.hotpepper.jp/strJ000761026/,大漁居酒屋　まぐろがんち　金沢駅,4.5,222.0,4500.5
strJ001277089,https://www.hotpepper.jp/strJ001277089/,博多中洲　ぢどり屋　金沢駅前本店,4.7,93.0,2500.5
strJ000631747,https://www.hotpepper.jp/strJ000631747/,女子会　宴会　貸切　イタリアンカフェぶどうの森 金沢フォーラス店,4.4,154.0,4500.5
strJ000033189,https://www.hotpepper.jp/strJ000033189/,居酒屋　丸奄　（まるえん）,4.5,192.0,4500.5
strJ003672294,https://www.hotpepper.jp/strJ003672294/,鉄板居酒屋　こなや　金沢駅前,4.2,73.0,4500.5
strJ003474552,https://www.hotpepper.jp/strJ003474552/,さば料理専門店 SABAR＋ 金沢笠市店,4.6,71.0,3500.5
strJ001239178,https://www.hotpepper.jp/strJ001239178/,個室完備 肉バル アブリ－ABURI－金沢駅前店,3.0,43.0,3500.5
strJ003474707,https://www.hotpepper.jp/strJ003474707/,豚串　三代目　岡じま商店,4.3,50.0,4500.5
strJ003560229,https://www.hotpepper.jp/strJ003560229/,北陸海鮮居酒屋　海鮮と加賀れんこん　たかや　金沢駅前,4.7,43.0,4500.5
strJ001193354,https://www.hotpepper.jp/strJ001193354/,焼肉ホルモン　あかまる,4.1,70.0,3500.5
strJ001001407,https://www.hotpepper.jp/strJ001001407/,日本海のごちそう　北陸の地酒　かっぽう居酒屋　水魚（すいぎょ）,2.9,73.0,3500.5
strJ001184769,https://www.hotpepper.jp/strJ001184769/,旬魚季菜　一滴,4.2,50.0,4500.5
strJ000032137,https://www.hotpepper.jp/strJ000032137/,手創り旬菜と和食　せん　金沢駅前,3.8,201.0,3500.5
strJ001238195,https://www.hotpepper.jp/strJ001238195/,オムライスとパフェ　胡京　komachi  金沢駅西店,4.5,240.0,2500.5
strJ001223085,https://www.hotpepper.jp/strJ001223085/,新時代 金沢駅前店,4.3,185.0,2500.5
strJ001170623,https://www.hotpepper.jp/strJ001170623/,テーブル　ナナ,3.8,119.0,3500.5
strJ000345471,https://www.hotpepper.jp/strJ000345471/,寿司 加賀料理 あかめ寿し,4.3,221.0,5500.5
strJ001216830,https://www.hotpepper.jp/strJ001216830/,大衆酒場　魚八,3.8,130.0,3500.5
strJ001010650,https://www.hotpepper.jp/strJ001010650/,焼鳥・手羽先唐揚　わいわい,4.2,149.0,3500.5
